UID          PID    PPID  C STIME TTY          TIME CMD
kali        1438    1211  0 15:27 ?        00:00:02 /usr/bin/python3 /usr/bin/blueman-applet
kali        1439    1211  0 15:27 ?        00:00:01 xfce4-power-manager
kali        1444    1211  0 15:27 ?        00:00:00 xiccd
kali        1450       1  0 15:27 ?        00:00:40 /usr/bin/vmtoolsd -n vmusr --blockFd 3
kali        1472       1  0 15:27 ?        00:00:00 xcape -e Super_L Control_L Escape
kali        1473    1211  0 15:27 ?        00:00:00 nm-applet
colord      1478       1  0 15:27 ?        00:00:00 /usr/libexec/colord
kali        1482    1211  0 15:27 ?        00:00:01 light-locker
kali        1489    1211  0 15:27 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
kali        1538    1170  0 15:27 ?        00:00:00 /usr/libexec/dconf-service
kali        1603    1170  0 15:27 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1612       1  0 15:27 ?        00:00:00 /usr/libexec/udisks2/udisksd
kali        1658    1170  0 15:27 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
kali        1663    1170  0 15:27 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
kali        1671    1170  0 15:27 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
kali        1676    1170  0 15:27 ?        00:00:01 /usr/libexec/gvfs-afc-volume-monitor
kali        1703    1311  0 15:27 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
kali        1709    1170  0 15:27 ?        00:00:00 /usr/libexec/gvfsd-metadata
kali        1740    1170  0 15:27 ?        00:00:00 /usr/libexec/bluetooth/obexd
kali       10939       1  0 15:46 ?        00:00:32 /usr/bin/qterminal
kali       10950   10939  0 15:46 pts/0    00:00:40 /usr/bin/zsh
root       25171       2  0 16:15 ?        00:00:00 [kworker/0:1-cgroup_destroy]
root       27678       2  0 16:19 ?        00:00:06 [kworker/2:2-events]
root       28647       2  0 16:21 ?        00:00:00 [kworker/1:2-cgroup_destroy]
root       37325       2  0 16:39 ?        00:00:00 [kworker/0:0-events]
root       37326       2  0 16:39 ?        00:00:00 [kworker/1:0-events]
root       43163       2  0 16:50 ?        00:00:10 [kworker/3:0-events]
root       45796       2  0 16:55 ?        00:00:00 [kworker/3:2-mm_percpu_wq]
root       48355       2  0 17:00 ?        00:00:00 [kworker/2:1-ata_sff]
root       51013       2  0 17:06 ?        00:00:00 [kworker/2:0-ata_sff]
root       51014       2  0 17:06 ?        00:00:00 [kworker/3:1-events]
kali       51862    1170  0 17:07 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd
root       52593       2  0 17:09 ?        00:00:00 [kworker/0:2]
kali       53726   10950  0 17:10 pts/0    00:00:00 ps -ef
